Date,Ondeck Time (local),Offdeck Time (local,Ondeck Time (UTC),Offdeck Time (UTC),Twin Otter,LC-130
09-Aug-18,1158,1303,1358,1503,-,S2218
11-Aug-18,1407,1602,1607,1802,-,S2518
13-Aug-18,1337,1533,1537,1733,-,S2718
24-Aug-18,1057,1151,1257,1351,-,S2718
25-Aug-18,1818,1925,2018,2125,-,S2818
28-Aug-18,1354,1610,1554,1810,-,S2918
07-Feb-19,1204,1229,1504,1529,Norland 6,-
14-Feb-19,1211,1259,1511,1559,Norland 6,-
04-Apr-19,1219,1308,1419,1508,Norland 6,-
28-Apr-19,1247,1406,1447,1606,,SK62
19-Apr-19,1436,1514,1636,1714,,SK14
30-Apr-19,1215,1303,1415,1503,,SK81
01-May-19,1247,1334,1447,1534,,SK42
02-May-19,1215,1303,1415,1503,,S0519
06-May-19,1157,1309,1357,1509,,S0619
07-May-19,1225,1319,1425,1519,,S0719
31-May-19,1244,1342,1444,1542,,S0819
31-May-19,1421,1516,1621,1716,,S0919
01-Jun-19,950,1032,1150,1230,,S01019
01-Jun-19,1323,1413,1523,1613,,S01119
03-Jun-19,1136,1250,1336,1450,,S1219
03-Jun-19,1318,1435,1518,1635,,S1319
04-Jun-19,1401,1511,1601,1711,,S1419
20-Jun-19,1110,1208,1310,1408,,S1519
22-Jun-19,1209,1320,1409,1520,,S1619
24-Jun-19,1055,1215,1255,1415,,S1719
26-Jun-19,1135,1312,1335,1512,,S1819
27-Jun-19,1027,1132,1227,1332,,S1919
11-Jul-19,1621,1730,1821,1930,,S2019
14-Jul-19,1503,1608,1703,1808,,E1019
16-Jul-19,1133,1315,1333,1515,,S2119
14-Aug-19,1640,1814,1840,2014,,S2219
15-Aug-19,1315,n/a,1515,n/a,,S2319
15-Aug-19,1843,2015,2043,2215,,S2419
17-Aug-19,1106,1238,1306,1438,,S2419
17-Aug-19,2016,2222,2216,2422,,ANG81719
17-Aug-19,n/a,2212,n/a,12,,S2419
18-Aug-19,1519,1617,1719,1817,,S2519
10-Oct-19,1027,1122,1227,1322,Norland Air POF,
10-Oct-19,435,456,1835,1856,Norland Air POF,
17-Oct-19,1329,1407,1529,1607,Norland Air POF,
11-Feb-20,1213,1259,1513,1559,Norland,
17-Feb-20,1150,1221,1450,1521,Norland,
18-May-20,1234,1325,1434,1525,,
19-May-20,1234,1318,1434,1518,,
08-Aug-20,1405,1530,1605,1730,,
11-Aug-20,1600,1800,1800,2000,,
11-Aug-20,1820,1930,2020,2130,,
16-Aug-20,1510,1620,1710,1820,,
16-Aug-20,1729,1847,1929,2047,,
17-Aug-20,1710,1820,1910,2020,,
18-Aug-20,1133,1230,1333,1430,,
18-Aug-20,1321,1432,1521,1632,,
19-Aug-20,1140,1246,1340,1446,,
21-Aug-20,1020,1122,1220,1322,,
23-Aug-20,1443,1548,1643,1748,,
23-Aug-20,1559,1600,1759,1800,,
23-Aug-20,1644,1742,1844,1942,,
23-Aug-20,1748,1749,1948,1949,,
23-Aug-20,1755,1756,1955,1956,,
23-Aug-20,1801,1802,2001,2002,,
23-Aug-20,1808,1809,2008,2009,,
23-Aug-20,1814,1815,2014,2015,,
23-Aug-20,1820,1821,2020,2021,,
23-Aug-20,1827,1828,2027,2028,,
23-Aug-20,1910,2007,2110,2207,,
23-Aug-20,2014,2015,2214,2215,,
23-Aug-20,2021,2022,2221,2222,,
23-Aug-20,2028,2029,2228,2229,,
24-Aug-20,1445,1505,1645,1705,,
24-Aug-20,1542,1615,1742,1815,,
24-Aug-20,1556,1611,1756,1811,,
24-Aug-20,1625,1710,1825,1910,,
17-Feb-21,1132,1155,1432,1455,,
21-Feb-21,1103,1138,1403,1438,,
30-Mar-21,1121,1203,1321,1403,,
21-Apr-21,1547,1649,1747,1849,,
26-Apr-21,1201,1253,1401,1453,,
26-Apr-21,1324,1401,1524,1601,,
27-Apr-21,1312,1403,1512,1603,,
14-May-21,1059,1205,1259,1405,,
15-May-21,1047,1155,1247,1355,,
18-May-21,1239,1422,1439,1622,,
19-May-21,1056,1133,1256,1333,,
19-May-21,1302,1340,1502,1540,,
20-May-21,1326,1445,1526,1645,,
22-May-21,1143,1303,1343,1503,,
22-May-21,1338,1408,1538,1608,,
23-May-21,1152,1239,1352,1439,,
24-May-21,1213,1306,1413,1506,,
07-Jun-21,1309,1424,1509,1624,,
08-Jun-21,1130,1219,1330,1419,,
09-Jun-21,1600,1644,1800,1844,,
12-Jun-21,1109,1237,1309,1437,,
14-Jun-21,1120,1218,1320,1418,,
16-Jun-21,1222,1405,1422,1605,,
16-Jul-21,1718,1820,1918,2020,,
19-Jul-21,1606,1653,1806,1853,,
21-Jul-21,1335,1418,1535,1618,,
24-Jul-21,1436,1545,1636,1745,,
24-Jul-21,1528,1630,1728,1830,,
26-Jul-21,1136,1224,1336,1424,,
26-Jul-21,1419,1526,1619,1726,,
13-Aug-22,1415,1527,1615,1727,,x
14-Aug-22,1550,1718,1750,1918,,x
17-Aug-22,1212,1312,1412,1512,,x
21-Aug-22,1357,1517,1557,1717,,x
22-Aug-22,1118,1318,1318,1518,,x
23-Aug-22,1338,1508,1538,1708,,x
12-Sep-22,1118,1213,1318,1413,,
13-Sep-22,1058,1137,1258,1337,,
26-Sep-22,1524,1628,1724,1828,x,
02-Nov-22,1123,1224,1323,1424,x,
