Particle diameter (um),Percent loss
0.25,1.9654999
0.25619999,1.9393692
0.26249999,1.9150925
0.26899999,1.8922806
0.27559999,1.8713379
0.28240001,1.85186
0.28940001,1.8339539
0.2965,1.8178329
0.30379999,1.8032684
0.31130001,1.7903061
0.31900001,1.7789688
0.32690001,1.7692261
0.33500001,1.7612305
0.3432,1.7549362
0.35170001,1.7503052
0.36039999,1.7473907
0.36930001,1.7462463
0.3784,1.7468567
0.38769999,1.7492523
0.3973,1.7535248
0.40709999,1.7596512
0.4172,1.7677155
0.42750001,1.7777176
0.43799999,1.7896729
0.4488,1.8037338
0.45989999,1.8199234
0.47130001,1.8383636
0.48289999,1.8588943
0.4948,1.881752
0.50700003,1.9069977
0.51950002,1.9346695
0.53240001,1.9650955
0.54549998,1.997879
0.55900002,2.0335464
0.57279998,2.0719528
0.5869,2.1131668
0.60140002,2.1575165
0.61619997,2.2048492
0.63139999,2.2555313
0.64700001,2.3096313
0.66299999,2.3673325
0.67930001,2.4283447
0.6961,2.4935379
0.71329999,2.5625992
0.73089999,2.6356964
0.7489,2.7129288
0.76740003,2.7948532
0.78640002,2.8816605
0.80580002,2.9729996
0.82569999,3.0694962
0.84600002,3.1707916
0.86690003,3.2780914
0.8883,3.3910446
0.9102,3.5098343
0.93269998,3.6351852
0.95569998,3.7667542
0.97930002,3.9052582
1.0035,4.0510101
1.0283,4.2041702
1.0536,4.364357
1.0796,4.5330505
1.1063,4.710556
1.1336,4.896431
1.1616,5.0916672
1.1902,5.2957993
1.2196,5.5105515
1.2497,5.7355194
1.2806,5.971756
1.3122,6.2188416
1.3446,6.4778519
1.3777,6.7483521
1.4118,7.033165
1.4466,7.3301163
1.4823,7.6413422
1.5189,7.9672012
1.5563999,8.3081055
1.5948,8.6644974
1.6342,9.0377121
1.6745,9.4272232
1.7158,9.8344345
1.7582,10.260811
1.8016,10.705833
1.846,11.169914
1.8916,11.65567
1.9383,12.162537
1.9861,12.690948
2.0351,13.242523
2.0854001,13.818878
2.1368001,14.418282
2.1896,15.04464
2.2435999,15.696129
2.299,16.37561
2.3557,17.082329
2.4138999,17.819252
2.4735,18.585571
2.5344999,19.381668
2.5971,20.210556
2.6612,21.071304
2.7269001,21.96553
2.7941999,22.893585
2.8631001,23.855629
2.9338,24.854698
3.0062001,25.889488
3.0804,26.961456
3.1564,28.070641
3.2342999,29.2183
3.3141999,30.405785
3.3959999,31.631264
3.4798,32.895828
3.5657001,34.200348
3.6537001,35.544189
3.7437999,36.926491
3.8362999,38.350784
3.9309001,39.811317
4.0279999,41.312813
4.1273999,42.85059
4.2293,44.425957
4.3336,46.035248
4.4405999,47.680813
4.5502,49.35854
4.6624999,51.067127
4.7775998,52.80492
4.8955002,54.568539
5.0163002,56.355713
5.1401,58.163891
5.2670002,59.99015
5.3969998,61.829777
5.5302,63.679211
5.6666999,65.534515
5.8066001,67.391403
5.9499002,69.243958
6.0967002,71.087341
6.2472,72.91761
6.4014001,74.728088
6.5594001,76.513115
6.7213001,78.266884
6.8871999,79.983444
7.0572,81.656761
7.2314,83.280823
7.4099002,84.84967
7.5928001,86.357521
7.7802,87.798843
7.9721999,89.168457
8.1689997,90.462242
8.3705997,
8.5771999,
8.7889004,
9.0058002,
9.2280998,
9.4558001,
9.6892004,
9.9284,
10.1734,
10.4245,
10.6818,
10.9455,
11.2156,
11.4924,
11.7761,
12.0667,
12.3646,
12.6698,
12.9825,
13.3029,
13.6312,
13.9677,
14.3124,
14.6657,
15.0277,
15.3986,
15.7786,
16.1681,
16.567101,
16.976,
17.395,
17.8244,
18.264299,
18.715099,
19.177,
19.650299,
20.1353,
20.632299,
21.1416,
21.663401,
22.198099,
22.745899,
23.3074,
23.882601,
24.472099,
25.076099,
25.695,
26.329201,
26.979099,
27.645,
28.327299,
29.026501,
29.742901,
30.476999,
31.2292,
32,
